close notes,resolver grp,summary,Cleaned_Column
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 2 - CRITICAL ALERT: Port-Channel Member down on US-TEM-2960X-MDF-S01.wescoaircraft.com,tier 2  critical alert portchannel member down on ustem2960xmdfs01wescoaircraftcom
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: Interface Down on US-TEM-2960X-MDF-S01.wescoaircraft.com,tier 1  critical alert interface down on ustem2960xmdfs01wescoaircraftcom
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: Interface Down on US-TEM-2960X-MDF-S01.wescoaircraft.com,tier 1  critical alert interface down on ustem2960xmdfs01wescoaircraftcom
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: US-TEM-2960S-IDF-S01.wescoaircraft.com is Down,tier 1  critical alert ustem2960sidfs01wescoaircraftcom is down
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on ausmcl01 is warning	
The SQL is in a stopped state. Started Manually now it is up and running fine.,MS SQL Database Support,"Critical Alert :  The SQL service ""SQL Server"" on GBVVSSQ10 is in Down",critical alert   the sql service sql server on gbvvssq10 is in down
The SQL is in a stopped state. Started Manually now it is up and running fine.,MS SQL Database Support,"Critical Alert :  The SQL service ""SQL Server Agent"" on GBVVSSQ10 is in Down",critical alert   the sql service sql server agent on gbvvssq10 is in down
Memory utilization is normal now. Reset email generated,Linux Support,Alert: Memory Utilization on tcmprd-ws03.tcmis.com is warning,alert memory utilization on tcmprdws03tcmiscom is warning
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Warning Alert: Memory Utilization on VALEXCHMS01 is : 94 %,warning alert memory utilization on valexchms01 is  94 
Now server has more than 15 gb free space. Hence closing the incident.,Citrix Support,ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 9 % is available,alert disk space on xa6516c label 88e6af70 has currently 9  is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down
"Issue Identification: CPU Utilization on AUS-BI02 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on AUS-BI02 is Critical	,alert cpu utilization on ausbi02 is critical	
"Issue Identification: CPU Utilization on G-OPTIODEV is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on G-OPTIODEV is Critical	,alert cpu utilization on goptiodev is critical	
"Issue Identification: CPU Utilization in XA6501 is Critical
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,Alert: CPU Utilization in XA6501 is Critical,alert cpu utilization in xa6501 is critical
"Issue Identification: ALERT: DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6530c label 88e6af70 has currently 20  is available
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,critical alert memory utilization on gbvvsms4 is  99 
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 95 %,warning alert memory utilization on gbvfsmo0 is  95 
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Critical	,alert cpu utilization on goptiopd is critical	
"Issue Identification: Warning Alert: Memory Utilization on gbdvssq0 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on gbdvssq0 is : 94 %,warning alert memory utilization on gbdvssq0 is  94 
The SQL is in a stopped state. Started Manually now it is up and running fine.,MS SQL Database Support,Warning ALERT:  SQL Components component  on GBDVSMS0 shows Warning,warning alert  sql components component  on gbdvsms0 shows warning
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,warning alert memory utilization on gbvvssq6 is  94 
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %,warning alert memory utilization on gbvvsms4 is  95 
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,warning alert memory utilization on gbvvssq6 is  94 
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,alert cpu utilization on ausesx17haasgroupintlcom is warning	
"Issue Identification: ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6509c label 88e6af70 has currently 20  is available
"utilization is normal
disk space is good
proceeding for closure",Windows Support,Warning Alert: Memory Utilization on APPSERVER01 is : 96 %,warning alert memory utilization on appserver01 is  96 
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 95 %,warning alert memory utilization on gbvvscl3 is  95 
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on CODEPROXY01 is Critical	,alert cpu utilization on codeproxy01 is critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-IND-891-CES-R01.wescoaircraft.com is Down,tier 3  critical device down usind891cesr01wescoaircraftcom is down
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Alert: CPU Utilization on aus-esx13.haasgroupintl.com is Critical	,alert cpu utilization on ausesx13haasgroupintlcom is critical	
We have verified the all the URLs and everything is working fine.,UST eCom Application Support,Critical ALERT:  A eComm Monitor Urls component  on G-ECOMWEB1 is in a current state of: Down,critical alert  a ecomm monitor urls component  on gecomweb1 is in a current state of down
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - CESS: Independen?ce - AMER - 1 Cessna Boulevard, Independen?ce, KS 67301, USA",group alert group is down  network team tickets tier3  cess independence  amer  1 cessna boulevard independence ks 67301 usa
Alert reset - issue detected as resolved by Orion,Windows Support, NODE ALERT: GBLVSDC02 is Down, node alert gblvsdc02 is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: IN-BAN-2960S-S01.wescoaircraft.com is Down,tier 3  critical device down inban2960ss01wescoaircraftcom is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: IN-BAN-2921-R01.wescoaircraft.com is Down,tier 3  critical device down inban2921r01wescoaircraftcom is down
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,Alert: CPU Utilization on AMER-AIMS17DEV is Critical	,alert cpu utilization on ameraims17dev is critical	
"Hello all,

Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Aparna Prakash
",JDE CNC Technical,Alert: Memory Utilization on DEVJDEJAS2 is in warning,alert memory utilization on devjdejas2 is in warning
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-IND-891-CES-R01.wescoaircraft.com is Down,tier 3  critical device down usind891cesr01wescoaircraftcom is down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on TXAU-MLEINDEV3 is Critical	,alert cpu utilization on txaumleindev3 is critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: IL-AKK-2960X-IDF-S01.wescoaircraft.com is Down,tier 1  critical alert ilakk2960xidfs01wescoaircraftcom is down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on GBVVSEX2 is Critical	,alert cpu utilization on gbvvsex2 is critical	
"Issue Identification: ALERT: DISK SPACE on XA6512-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6512-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6512c label 88e6af70 has currently 20  is available
"Issue Identification: ALERT: DISK SPACE on XA6515-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6515-C:\ Label: 88E6AF70 has currently 18 % is available,alert disk space on xa6515c label 88e6af70 has currently 18  is available
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - CESS: Independen?ce - AMER - 1 Cessna Boulevard, Independen?ce, KS 67301, USA",group alert group is down  network team tickets tier3  cess independence  amer  1 cessna boulevard independence ks 67301 usa
"Issue Identification: ALERT: DISK SPACE on XA6522-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6522-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6522c label 88e6af70 has currently 20  is available
Alert reset - issue detected as resolved by Orion.,Network Support,"Network Team Tickets: Tier1  - Akko - EMEA - 20 Moshe Boreshtein Stret South Industrial Zone, Akko 2422242, Israel",network team tickets tier1   akko  emea  20 moshe boreshtein stret south industrial zone akko 2422242 israel
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on GBVVSEX0 is Critical	,alert cpu utilization on gbvvsex0 is critical	
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on tcmprd-haasr05.tcmis.com is Critical,alert cpu utilization on tcmprdhaasr05tcmiscom is critical
Now the utilization is normal. Reset email generated. ,Linux Support,ALERT: Disk utilization on tcmqa-ws01.tcmis.com is Warning,alert disk utilization on tcmqaws01tcmiscom is warning
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Alert: CPU Utilization on AUS-GHS-TS01 is Critical	,alert cpu utilization on ausghsts01 is critical	
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Warning Alert: Memory Utilization on USAVSMS0 is : 96 %,warning alert memory utilization on usavsms0 is  96 
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Critical ALERT:  A Microsoft IIS component  on USAUWCSAPP01 is in a current state of: Down,critical alert  a microsoft iis component  on usauwcsapp01 is in a current state of down
Alert reset - issue detected as resolved by Orion.,Network Support,Network Device _Memory utilization_Critical,network device _memory utilization_critical
"Issue Identification: ALERT: DISK SPACE on XA6510-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6510-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6510c label 88e6af70 has currently 20  is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on CAV-TPC01 is Critical	,alert cpu utilization on cavtpc01 is critical	
"Issue Identification: Memory Utilization on USAZSCCMCAS01 is : 96 %
Resolution: Alert reset - issue detected as resolved by Orion, After the kill of the Service -SQL NT(Critical)  it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 96 %,warning alert memory utilization on usazsccmcas01 is  96 
Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on GBVVSHR0 is : 94 %,warning alert memory utilization on gbvvshr0 is  94 
"Node status: Up
Node: ukvsh1.wescohq.com
Node Description: VMware ESX Server
IP Address: 192.168.3.24

This issue occurred on Wednesday, June 8, 2022 8:18 PM CT.
",Windows Support,ESX ALERT: ukvsh1.wescohq.com is Down,esx alert ukvsh1wescohqcom is down
"Node status: Up
Node: ukvsh2.wescohq.com
Node Description: VMware ESX Server
IP Address: 192.168.3.21

This issue occurred on Wednesday, June 8, 2022 8:19 PM CT.
",Windows Support,ESX ALERT: ukvsh2.wescohq.com is Down,esx alert ukvsh2wescohqcom is down
"Node status: Up
Node: ukvsh3.wescohq.com
Node Description: VMware ESX Server
IP Address: 192.168.3.29

This issue occurred on Wednesday, June 8, 2022 8:19 PM CT.
",Windows Support,ESX ALERT: ukvsh3.wescohq.com is Down,esx alert ukvsh3wescohqcom is down
"Node Name: GBVVSDV0

IP address: 10.224.32.145

CPU Utilization: 0 %
",Windows Support,Alert: CPU Utilization on GBVVSDV0 is Critical	,alert cpu utilization on gbvvsdv0 is critical	
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down, node alert itest2wescohqcom is down
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted, node alert valjdelog01 has rebooted
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted, node alert devjdejas2 has rebooted
"Node status: Up
Node: akko-esx01.haasgroupintl.com
Node Description: VMware ESX Server
IP Address: 192.168.109.250

This issue occurred on Wednesday, June 8, 2022 11:27 PM CT.
",Windows Support,ESX ALERT: akko-esx01.haasgroupintl.com is Down,esx alert akkoesx01haasgroupintlcom is down
"Application: Samba 

Application Component: TCP Port: NetBIOS Session(Up), TCP Port: SMB Over TCP(Up) 

Application State: Up

Node: AKKO-FILE01

Node Description: Windows 2012 R2 Server

IP Address: 192.168.109.2
",Windows Support,Critical ALERT:  A Samba component  on AKKO-FILE01 is in a current state of: Down,critical alert  a samba component  on akkofile01 is in a current state of down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: IL-AKK-2960X-IDF-S01.wescoaircraft.com is Down,tier 1  critical alert ilakk2960xidfs01wescoaircraftcom is down
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	,alert cpu utilization on goptiopd is warning	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: IL-AKK-2960X-IDF-S01.wescoaircraft.com is Down,tier 1  critical alert ilakk2960xidfs01wescoaircraftcom is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CA-QUE-BOM1-C1111-R01.wescoaircraft.com is Down,tier 3  critical device down caquebom1c1111r01wescoaircraftcom is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CA-QUE-BOM3-C1111-R01.wescoaircraft.com is Down,tier 3  critical device down caquebom3c1111r01wescoaircraftcom is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CA-QUE-BOM8-C1111-R01.wescoaircraft.com is Down,tier 3  critical device down caquebom8c1111r01wescoaircraftcom is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-STU-VGT-891-R01.wescoaircraft.com is Down,tier 3  critical device down usstuvgt891r01wescoaircraftcom is down
Alert reset - issue detected as resolved by Orion.,Network Support,GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - BOM: Montreal (Plant 3) - AMER - Retorno El Marques #4F Parque Industrial El Marques Bombardier Plant,group alert group is down  network team tickets tier3  bom montreal plant 3  amer  retorno el marques 4f parque industrial el marques bombardier plant
"Issue Identification: A Baseline Services_Windows component  on XA6539 is in a current state of Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.
",Windows Support,Critical ALERT:  A Baseline Services_Windows component  on XA6539 is in a current state of: Down,critical alert  a baseline services_windows component  on xa6539 is in a current state of down
We have cleared the background process.,Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 94 %,warning alert memory utilization on gbvvssq10 is  94 
Webserver restarted and the component is UP now.,Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws06.tcmis.com is Down,alert  a m5 monitoring tomcat component  on tcmprdws06tcmiscom is down
Webserver restarted and the component is UP now.,Linux Support,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws06.tcmis.com is Down,critical alert  a tcmis services 20 component  on tcmprdws06tcmiscom is down
Alert reset - issue detected as resolved by Orion,Windows Support,ALERT: Critical disk utilization in CAV-SQLDW03,alert critical disk utilization in cavsqldw03
We have around 385 GB of free space in the E drive. Hence resloved,MS SQL Database Support,ALERT: DISK SPACE on CAV-SQLDW01-E:\ Label:SQL_DATA 34580907 has currently 15 % is available,alert disk space on cavsqldw01e labelsql_data 34580907 has currently 15  is available
"Node status: Up
Node: ITMSRHV1
Node Description: Hyper-V Server
IP Address: 10.216.0.191


This issue occurred on Thursday, June 9, 2022 3:32 AM CT.",Windows Support, NODE ALERT: ITMSRHV1 is Down, node alert itmsrhv1 is down
"Node status: Up
Node: ITMVSDC0
Node Description: Windows 2012 R2 Server
IP Address: 10.216.0.252


This issue occurred on Thursday, June 9, 2022 3:32 AM CT.

",Windows Support, NODE ALERT: ITMVSDC0 is Down, node alert itmvsdc0 is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: IT-ITM-3810-S01 is Down,tier 3  critical device down ititm3810s01 is down
"Node status: Up
Node: ITMVSMS0
Node Description: Windows 2012 R2 Server
IP Address: 10.216.0.180


This issue occurred on Thursday, June 9, 2022 3:32 AM CT.
",Windows Support, NODE ALERT: ITMVSMS0 is Down, node alert itmvsms0 is down
"Node status: Up
Node: ITMSRHV0
Node Description: Hyper-V Server
IP Address: 10.216.0.190


This issue occurred on Thursday, June 9, 2022 3:33 AM CT.
",Windows Support, NODE ALERT: ITMSRHV0 is Down, node alert itmsrhv0 is down
"Node status: Up
Node: ITMVSFP0
Node Description: Windows 2012 R2 Server
IP Address: 10.216.0.241


This issue occurred on Thursday, June 9, 2022 3:33 AM CT.
",Windows Support, NODE ALERT: ITMVSFP0 is Down, node alert itmvsfp0 is down
"Node status: Up
Node: ITMVSDC1
Node Description: Windows 2012 R2 Server
IP Address: 10.216.0.253


This issue occurred on Thursday, June 9, 2022 3:34 AM CT.
",Windows Support, NODE ALERT: ITMVSDC1 is Down, node alert itmvsdc1 is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: PH-BAG-C1111-R01.wescoaircraft.com is Down,tier 3  critical device down phbagc1111r01wescoaircraftcom is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: UK-RED-TZ300-F01 is Down,tier 3  critical device down ukredtz300f01 is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: IT-MIL-C1113-R01.wescoaircraft.com is Down,tier 3  critical device down itmilc1113r01wescoaircraftcom is down
"Issue Identification: ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 19 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 19 % is available,alert disk space on xa6501c label 88e6af70 has currently 19  is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down
Now the utilization is normal,Linux Support,Alert: Memory Utilization on tcmprd-ws05.tcmis.com is warning,alert memory utilization on tcmprdws05tcmiscom is warning
"Issue Identification: CPU Utilization on ITMADC is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on ITMADC is Critical	,alert cpu utilization on itmadc is critical	
"Application: Microsoft IIS 

Application Component: Application Pools(Not Running), Sites(Unknown), Site Bindings Monitor(Up), Worker Process Statistic Monitor (DefaultAppPool)(Not Running), Worker Process Statistic Monitor (moveitdmz ISAPI Pool)(Not Running), Worker Process Statistic Monitor (moveitdmz Pool)(Up), Total Connection Attempts(Up), Total Logon Attempts(Up), Current Connections(Up), Current Anonymous users(Up), Current NonAnonymous Users(Up), Total Connection Attempts (moveitdmz)(Up), Total Logon Attempts (moveitdmz)(Up), Current Connections (moveitdmz)(Up) 
Application State: Unknown

Node: G-MOVEITT1

Node Description: Windows 2019 Server

IP Address: 192.168.48.203

This issue occurred on Thursday, June 9, 2022 4:47 AM CT.
",Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on gmoveitt1 is in a current state of down
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	,alert cpu utilization on goptiopd is warning	
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on TXAU-MLEINDEV3 is Critical	,alert cpu utilization on txaumleindev3 is critical	
"Resolution notes copied from Parent Incident: utilization is normal
disk space is good
proceeding for closure",Windows Support,ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6516c label 88e6af70 has currently 20  is available
Microsoft Monitoring agent is in running state,Windows Support,Critical ALERT:  A monitoringhost component  on AUS-BIPRD-PUB01 is in a current state of: Down,critical alert  a monitoringhost component  on ausbiprdpub01 is in a current state of down
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on ausmcl01 is warning	
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on AUS-NETMON is Critical	,alert cpu utilization on ausnetmon is critical	
After clearing the background process it's come down.Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB01 is Critical	,alert cpu utilization on ausbiprdpub01 is critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-ROC-891-UTAS-R01.wescoaircraft.com is Down,tier 3  critical device down usroc891utasr01wescoaircraftcom is down
"Issue Identification: Memory Utilization on GBVVSSQ10 is : 96 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 96 %,warning alert memory utilization on gbvvssq10 is  96 
Node is up now.,Linux Support,ALERT: rtfpoc-wrk04.haasgroupintl.com is Down,alert rtfpocwrk04haasgroupintlcom is down
"Issue Identification: ALERT: DISK SPACE on XA6502-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post-schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6502-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6502c label 88e6af70 has currently 20  is available
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 98 %,critical alert memory utilization on gbvvsms4 is  98 
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,alert cpu utilization on ausesx17haasgroupintlcom is warning	
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on G-OPTIOPD is Critical	,alert cpu utilization on goptiopd is critical	
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 97 %,warning alert memory utilization on gbvvsms4 is  97 
"

Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,warning alert memory utilization on gbvvssq6 is  94 
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,warning alert memory utilization on gbvvssq6 is  94 
"Issue Identification: ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post-schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6508c label 88e6af70 has currently 20  is available
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Warning Alert: Memory Utilization on APPSERVER01 is : 96 %,warning alert memory utilization on appserver01 is  96 
Alert reset - issue detected as resolved by Orion.,Network Support,Network Device Hardware Alert : Fan Sensor on UK-SPO-2626-S01 is Critical,network device hardware alert  fan sensor on ukspo2626s01 is critical
Resolution notes copied from Parent Incident: issue resolved,Windows Support,ALERT: DISK SPACE on AUS-ITWIKI01-C:\ Label: 4608119A has currently 15 % is available,alert disk space on ausitwiki01c label 4608119a has currently 15  is available
"Issue Identification: ALERT: DISK SPACE on XA6519-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post-schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6519-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6519c label 88e6af70 has currently 20  is available
"Issue Identification: ALERT: DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 18 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post-schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 18 % is available,alert disk space on xa6523c label 88e6af70 has currently 18  is available
"Issue Identification: ALERT: DISK SPACE on XA6511-C:\ Label: 88E6AF70 has currently 19 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post-schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,ALERT: DISK SPACE on XA6511-C:\ Label: 88E6AF70 has currently 19 % is available,alert disk space on xa6511c label 88e6af70 has currently 19  is available
