close notes,resolver grp,summary
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	
Alert reset - issue detected as resolved by Orion,Windows Support,ALERT: DISK SPACE on TXAU-SQL1902-G:\ Label:Backups 941DA743 has currently 11 % is available
"Application: Windows Server 2019 Services and Counters 

Application Component: Service: Distributed Transaction Coordinator(Up), Service: Security Accounts Manager(Up), Service: Remote Registry(Up), Service: Server(Up), Service: Plug and Play(Up), Total Available Memory (MB)(Up), Page File Usage(Up), Disk Queue Length(Up), Virtual Memory(Up), % Processor Time(Warning), Pages/sec(Up), Logical Disk: Avg. Disk Queue Length(Up), Physical Disk: Avg. Disk Queue Length(Up) 

Application State: Warning

Node: TXAU-MLEINPROD1

Node Description: Windows 2019 Server

IP Address: 10.50.110.85
",Windows Support,Critical ALERT:  A Windows Server 2019 Services and Counters component  on TXAU-MLEINPROD1 is in a current state of: Critical
issue resolved,Windows Support,Alert: CPU Utilization on AUS-BI01 is Critical	
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %
Now the utilization is normal.,Linux Support,Alert: Memory Utilization on tcmpoc-haasr01.tcmis.com is warning
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,NODE ALERT: AUS-ORIONHA01 is Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %
"Issue Identification: ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available
"Issue Identification: Memory Utilization on GBVFSMO0 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %
"Issue Identification: Memory Utilization on gbdvssq0 is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on gbdvssq0 is : 95 %
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
"Resolution notes copied from Parent Incident: Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,ALERT:  A Microsoft IIS component  on AUS-ORIONHA01 is in a current state of: Down
"Issue Identification: Memory Utilization on AUS-BIPRD-PUB01 is : 98 %
Resolution: Alert reset - issue detected as resolved by Orion, After the kill QlikViw service, it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Critical Alert: Memory Utilization on AUS-BIPRD-PUB01 is : 98 %
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 94 %
"Issue Identification: ALERT: DISK SPACE on XA6526-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot, the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes
",Citrix Support,ALERT: DISK SPACE on XA6526-C:\ Label: 88E6AF70 has currently 20 % is available
Now the utilization is normal. Reset email generated.,Linux Support,Alert: Memory Utilization on tcmprd-haasr07.tcmis.com is warning
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 96 %
Monitoring removed by solarwinds ,Windows Support,ALERT:  A Microsoft IIS component  on AUS-ORIONHA01 is in a current state of: Down
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,ALERT: DISK SPACE on XA6507-C:\ Label: 88E6AF70 has currently 20 % is available
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on ITMADC is Critical	
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Warning Alert: Memory Utilization on gbdvssq0 is : 94 %
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CA-QUE-BOM8-C1111-R01.wescoaircraft.com is Down
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	
Alert reset - issue detected as resolved by Orion.,Network Support,GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - BOM: Mirabel (Plant 8) - AMER - Retorno El Marques #4F Parque Industrial El Marques Bombardier Plant 
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
Now the utilization is normal. Reset email generated.,Linux Support,Alert: Memory Utilization on tcmprd-ws07.tcmis.com is warning
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on ADAVIIS01 is Critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 2 - Non-Critical Device Down: MX-MEX-891-GUL-R01.wescoaircraft.com is Down
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB03 is in a current state of: Critical
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on GBVVSML0 is Critical	
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB03 is Critical	
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier2  - Mexicali - AMER - Gulfstream Boulevard Lazaro Cardenas 2365, Mexicali, Baja California, Mexico"
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on AUS-ORIONAPP02 is : 96 %
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on gbdvssq0 is : 94 %
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on GBVVSDV0 is Critical	
"Application: SQL Components 

Application Component: SQL Server (MSSQLSERVER)

Application State: Up

Node Name : GBDVSMS0

IP Address: 10.224.96.180

Component Statistic Data: 

Component Message: 
",MS SQL Database Support,Warning ALERT:  SQL Components component  on GBDVSMS0 shows Warning
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB02 is Critical	
"Alert reset - issue detected as resolved by Orion
",Citrix Support,ALERT: DISK SPACE on XA6520-C:\ Label: 88E6AF70 has currently 20 % is available
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Alert: CPU Utilization on GJDEWEB03 is Critical
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 97 %
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Warning Alert: Memory Utilization on GBVVSML0 is : 97 %
Webserver restarted and the component is UP now,Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws07.tcmis.com is Down
Webserver restarted and the component is UP now,Linux Support,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws07.tcmis.com is Down
"Alert reset - issue detected as resolved by Orion
",Citrix Support,ALERT: DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %
Now the utilization is normal. Reset email generated.,Linux Support,Alert: Memory Utilization on tcmprd-haasr04.tcmis.com is warning
"Services are up and running.
Closing this incident for now.",JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 94 %
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on AUS-ORIONAPP02 is : 96 %
issue resolved,Windows Support,Alert: CPU Utilization on GBV-ORIONAPP01 is Warning	
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on GBVVSML0 is : 95 %
issue resolved,Windows Support,Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: GJDEWEB02 has rebooted
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB02 is in a current state of: Down
"Alert reset - issue detected as resolved by Orion
",Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6523 is in a current state of: Down
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: GJDEWEB03 has rebooted
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB03 is in a current state of: Down
Taken care of the server. Resolved.,Citrix Support,NODE Down ALERT: XA6501 is Down
Now the utilization is normal. Reset email generated.,Linux Support,Alert: Memory Utilization on tcmprd-haasr03.tcmis.com is warning
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on USAUWCSAPP01 is in a current state of: Down
Resolution notes copied from Parent Incident: issue resolved,Windows Support,ALERT: DISK SPACE on USAVSSQ0-E:\ Label:DATA F2224374 has currently 14 % is available
CPU utilization is normal now.,Linux Support,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Critical	
Resolution notes copied from Parent Incident: issue resolved,Windows Support,ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 15 % is available
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on VALDC01 is : 94 %
Resolution notes copied from Parent Incident: issue resolved,Windows Support,ALERT: DISK SPACE on AUS-JUMPBOX01-C:\ Label: 4608119A has currently 13 % is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: US-SAV-2921-R01.wescoaircraft.com is Down
Now the utilization is normal. ,Linux Support,Alert: Memory Utilization on infpoc-oem02.tcmis.com is warning
issue resolved,Windows Support, NODE ALERT: GASA-SRVR01 is Down
Resolution notes copied from Parent Incident: issue resolved,Windows Support, NODE ALERT: Savannah-AIMS is Down
issue resolved,Windows Support,ESX ALERT: Savannah-ESX01.haasgroupintl.com is Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on KSWI-FILE01 is in a current state of: Down
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on aus-esx13.haasgroupintl.com is Critical	
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on KSWI-FILE01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB01 is Warning	
 Upgrade  has been completed from ONTAP OS Version 9.7P10 to ONTAP 9.9.1P9 in NetApp Mir-Cluster-01,Backup Support,Alert Storage -Hardware component is in critical state - integration
 Upgrade  has been completed from ONTAP OS Version 9.7P10 to ONTAP 9.9.1P9 in NetApp Mir-Cluster-01,Backup Support,Alert Storage -Hardware component is in critical state - integration
 Upgrade  has been completed from ONTAP OS Version 9.7P10 to ONTAP 9.9.1P9 in NetApp Mir-Cluster-01,Backup Support,Alert Storage -Hardware component is in critical state - integration
 Upgrade  has been completed from ONTAP OS Version 9.7P10 to ONTAP 9.9.1P9 in NetApp Mir-Cluster-01,Backup Support,Alert Storage -Hardware component is in critical state - integration
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on AUS-BI02 is Warning	
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on AUS-BI02 is Critical	
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on gbwsrsq1 is Critical	
"utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 94 %
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on GBVVSDV0 is Critical	
Now the utilization is normal. ,Linux Support,Alert: Memory Utilization on tcmpoc-haasr02.tcmis.com is warning
issue resolved,Windows Support,ALERT: DISK SPACE on G-SQL02-D:\ Label:SQL Data D8685B24 has currently 14 % is available
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Warning Alert: Memory Utilization on AUS-ORIONAPP02 is : 97 %
Resolution notes copied from Parent Incident: issue resolved,Windows Support, NODE ALERT: DECATUR-DC01 is Down
issue resolved,Windows Support,ESX ALERT: decatur-esx01.haasgroupintl.com is Down
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on gbmi1-dc05 is Critical	
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on ADAVIIS01 is Critical	
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 94 %
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on tcmprd-ws02.tcmis.com is warning
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on GBVVSML0 is Critical	
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down
Now the utilization is normal. Reset email generated.,Linux Support,Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning
Resolution notes copied from Parent Incident: issue resolved,Windows Support,ALERT: Critical disk utilization in NIMBUS
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-TRAXDEV01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB01 is Warning	
Server was trying boot with New version of vDisk .Booted the server with maintenance vDisk version .  Closing the ticket.,Citrix Support,NODE Down ALERT: XA6501 is Down
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on ITMADC is Critical	
"Hello all,
Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Ravi Varma",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB06 is in a current state of: Critical
issue resolved,Windows Support,ALERT: DISK SPACE on USAVSSQ0-E:\ Label:DATA F2224374 has currently 14 % is available
issue resolved,Windows Support,ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 15 % is available
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on AUS-BIPRD-PUB01 is : 96 %
"Hello all,
Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Ravi Varma",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB06 is Critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CA-QUE-BOM3-C1111-R01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-WIT-891-CESPA-R01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - BOM: Montreal (Plant 3) - AMER - Retorno El Marques #4F Parque Industrial El Marques Bombardier Plant
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on GJDEWEB06 is Critical
issue resolved,Windows Support,Alert: CPU Utilization on UKVSDC2 is Critical	
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down
"Hello all,
Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Ravi Varma",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB04 is Critical	
issue resolved,Windows Support,ALERT: DISK SPACE on GBVVSML0-E:\ Label:Applications 7A4E86EF has currently 15 % is available
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on GBVCLSQ2-PRESS is : 97 %
issue resolved,Windows Support,Warning Alert: Memory Utilization on GBVVSSQ8 is : 97 %
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on gbwsrsq1 is Warning	
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Alert: CPU Utilization on CAV-SQLDW01 is Warning	
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %
Resolution notes copied from Parent Incident: issue resolved,Windows Support,Warning Alert: Memory Utilization on VALFILE01V is : 94 %
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-NAP-C1111-R01.wescoaircraft.com is Down
"We restarted the application, Now it is UP and running.",Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws01.tcmis.com is Down
Resolution notes copied from Parent Incident: issue resolved,Windows Support,ALERT: DISK SPACE on TXAU-SQL19-N1-D:\ Label:Data 242E734E has currently 14 % is available
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed",JDE CNC Technical, NODE ALERT: CAVA2JDEWEB01 has rebooted
"Started the qlikview server service
issue fixed",Windows Support,Critical ALERT:  GROUP ALERT: Group is Down - APPLICATION - Qlik View
 SIOP_OTD_Dashboard working fine now,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SIOP_OTD_Dashboard transaction state is Down
"Started the qlikview server service
issue fixed",Windows Support,Critical ALERT:  A QVS.exe component  on AUS-BIPRD-N1 is in a current state of: Down
"Started the qlikview server service
issue fixed",Windows Support,Critical ALERT:  A QVS.exe component  on AUS-BIPRD-N2 is in a current state of: Down
Qlikview working fine now.,Business Intelligence  Support ,WPM Critical Alert : A qlikview transaction state is Down
SIOP_Forecast_Viewer  working fine now,Business Intelligence  Support ,WPM Critical Alert : A Qlikview _Access Point - SIOP_Forecast_Viewer transaction state is Down
sca_buy_reqs.qvw,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - sca_buy_reqs.qvw transaction state is Down
INCORACHEM_ANYDOC_FILEBOUND_VOUCHERED_DASHBOARD.QVW working fine now.,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - INCORACHEM_ANYDOC_FILEBOUND_VOUCHERED_DASHBOARD.QVW transaction state is Down
SALES_4_CORNER_DASHBOARD.QVW  working fine now,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SALES_4_CORNER_DASHBOARD.QVW transaction state is Down
SIOP_FORECAST_ACCURACY.QVW  working fine now,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SIOP_FORECAST_ACCURACY.QVW transaction state is Down
SCA_Procurement working fine now.,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SCA_Procurement transaction state is Down
sca_customer_alignment.qvw working fine now.,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - sca_customer_alignment.qvw transaction state is Down
HAAS ON TIME DELIVERY OOR OTD.QVW working fine now,Business Intelligence  Support ,WPM Critical Alert : A Qlikview _Access Point - HAAS ON TIME DELIVERY OOR OTD.QVW transaction state is Down
HARDWARE OPEN ORDERS.QVW working fine now,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - HARDWARE OPEN ORDERS.QVW transaction state is Down
SIOP_LOB_ALL.QVW  working fine now,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SIOP_LOB_ALL.QVW transaction state is Down
SIOP_Delivery_Assurance_Dashboard working fine now,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SIOP_Delivery_Assurance_Dashboard transaction state is Down
SCA_Supplier_Scorecard  working fine now,Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SCA_Supplier_Scorecard transaction state is Down
"Resolution notes copied from Parent Incident: utilization looks normal
so resolving this now",Windows Support,Alert: CPU Utilization on AUS-BI01 is Critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: MX-MEX-891-TRI-R01.wescoaircraft.com is Down
issue resolved,Windows Support,ALERT: Critical disk utilization in TXAU-SQL19-N1
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - TRI: Mexicali - AMER - Calle El Rey del Desierto 66 El Sahuaro, Mexicali 21395, B.C., Mexico"
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 2 - Non-Critical Device Down: US-CSP-891-R01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier2  - Colorado Springs - AMER - 1275 North Newport Road, Colorado Springs, Colorado 80913, USA"
"Hello all,
Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Ravi Varma",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB04 is Warning	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 2 - Non-Critical Device Down: US-CSP-891-R01.wescoaircraft.com is Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on XA6531 is in a current state of: Down
Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %
"Issue Identification: ALERT: DISK SPACE on usauitadmust01-C:\ Label: 1CDB9A83 has currently 15 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the recycle bin. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,ALERT: DISK SPACE on usauitadmust01-C:\ Label: 1CDB9A83 has currently 15 % is available
"Issue Identification: CPU Utilization on GBVVSDV1 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on GBVVSDV1 is Critical	
Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A Commander (label printing server) Monitoring component  on   CAV-CMDR01 is in a current state of: Down
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.
",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed
",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted
Application component is UP now.,Linux Support,ALERT:  A Baseline _Linux component  on tcmpoc-sdsadm01.haasgroupintl.com is  Down
"Now the utilization is normal. Reset email generated. 
",Linux Support,Alert: Memory Utilization on infprd-rdeck01.haasgroupintl.com is warning
"Issue Identification: Memory Utilization on usauitadmust01 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on usauitadmust01 is : 94 %
"Issue Identification: A Baseline Services_Windows component  on XA6509 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.
",Windows Support,Critical ALERT:  A Baseline Services_Windows component  on XA6509 is in a current state of: Down
