,ClosureDate,Type,Region,Category,Country,Group,Summary,TSC,Summary_c,Summary_lemma,Summary_POS_Removed
1680,27-09-2022,Incident,AM,Hardware,United States,Deskside,Hardware - Provide admin rights.,Y,hardware  provide admin rights,hardware   provide admin right,hardware
1681,18-10-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
1682,23-09-2022,Incident,AM,,United States,Deskside,Application Issue - Adobe,Y,application issue  adobe,application issue   adobe,application issue adobe
1683,23-09-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop - URGENT!!!,Y,hardware issue  laptop  urgent,hardware issue   laptop   urgent,hardware issue urgent
1684,26-09-2022,Incident,AM,M365,Canada,Deskside,Reported Issue - Application - Microsoft Teams - IM/Chat/Desktop Client Function,Y,reported issue  application  microsoft teams  imchatdesktop client function,report issue   application   microsoft team   imchatdesktop client function,report issue application team imchatdesktop client function
1685,27-09-2022,Incident,AM,Printer,United States,Deskside,Hardware Issue - Printer,Y,hardware issue  printer,hardware issue   printer,hardware issue printer
1686,28-10-2022,Incident,AM,Email,United States,Deskside,Reported Issue - Application - Outlook (desktop),Y,reported issue  application  outlook desktop,report issue   application   outlook desktop,report issue application outlook desktop
1687,26-09-2022,Incident,AM,Windows / OS,United States,Deskside,Mac - Computer Issues,Y,mac  computer issues,mac   computer issue,mac computer issue
1688,23-09-2022,Incident,AM,M365,United States,Deskside,Microsoft Teams â€“ Teams is slow or unusable,Y,microsoft teams  teams is slow or unusable,microsoft team   team be slow or unusable,team team
1689,04-10-2022,Incident,AM,,United States,Deskside,BAC - VPN - Issues,Y,bac  vpn  issues,bac   vpn   issue,bac issue
1690,27-09-2022,Incident,AM,Hardware,United States,Deskside,Reported Issue - Hardware - Other,Y,reported issue  hardware  other,report issue   hardware   other,report issue
1691,11-10-2022,Incident,AM,,United States,Deskside,File Transfer Issue - Space needs to be freed up on hard drive to allow download as needed. - Deskside support.,Y,file transfer issue  space needs to be freed up on hard drive to allow download as needed  deskside support,file transfer issue   space need to be free up on hard drive to allow download as need   deskside support,file transfer issue space drive download need support
1692,01-11-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
1693,29-09-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
1694,26-09-2022,Incident,AM,,United States,Deskside,macOS - Personal Recovery Key Invalid.,Y,macos  personal recovery key invalid,macos   personal recovery key invalid,recovery key invalid
1695,29-09-2022,Incident,AM,,United States,Deskside,macOS - Personal Recovery Key Invalid.,Y,macos  personal recovery key invalid,macos   personal recovery key invalid,recovery key invalid
1696,26-09-2022,Incident,AM,,United States,Deskside,macOs - Personal Recovery Key Invalid.,Y,macos  personal recovery key invalid,macos   personal recovery key invalid,recovery key invalid
1697,26-09-2022,Incident,AM,,United States,Deskside,macOS - Personal Recovery Key Invalid.,Y,macos  personal recovery key invalid,macos   personal recovery key invalid,recovery key invalid
1698,26-09-2022,Incident,AM,Active Directory,United States,Deskside,Account Lockouts issue,Y,account lockouts issue,account lockout issue,account lockout issue
1699,26-09-2022,Incident,AM,Hardware,United States,Deskside,JLL Hardware Issue - Docking Station Dell Display Manager setup,Y,jll hardware issue  docking station dell display manager setup,jll hardware issue   dock station dell display manager setup,jll hardware issue dock station display manager setup
1700,29-09-2022,Incident,AM,,United States,Deskside,JLL HR Direct / Workday - site error Issues,Y,jll hr direct  workday  site error issues,jll hr direct   workday   site error issue,jll hr workday site error issue
1701,05-10-2022,Incident,AP,M365,India,Deskside,Microsoft Teams - Designation on MS Teams is incorrect,Y,microsoft teams  designation on ms teams is incorrect,microsoft team   designation on ms team be incorrect,team designation ms team
1702,27-10-2022,Incident,AM,Laptop,Canada,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,reported issue  hardware  laptop_desktop,report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
1703,26-09-2022,Incident,AM,,United States,Deskside,JLL Admin Rights Quicken Assistance,Y,jll admin rights quicken assistance,jll admin rights quicken assistance,jll admin assistance
1704,27-09-2022,Incident,AM,Hardware,United States,Deskside,Reported Issue - Hardware - Docking_Station,Y,reported issue  hardware  docking_station,report issue   hardware   docking_station,report issue hardware docking_station
1705,26-09-2022,Incident,AM,Email,United States,Deskside,Email - Other reported,Y,email  other reported,email   other report,email report
1706,04-10-2022,Incident,AM,Network,United States,Deskside,Reported Issue - Network - VPN,Y,reported issue  network  vpn,report issue   network   vpn,report issue network vpn
1707,02-11-2022,Incident,AM,Laptop,United States,Deskside,Ester Rivera - Reported Issue - Hardware - Laptop_Desktop ,Y,ester rivera  reported issue  hardware  laptop_desktop ,ester rivera   report issue   hardware   laptop_desktop,ester rivera report issue hardware laptop_desktop
1708,25-09-2022,Incident,AP,Access,Australia,Deskside,Network Drive - can t access \\aubne04insp001\brisbane,Y,network drive  can t access ,network drive   can t access,network drive access
1709,11-10-2022,Incident,AM,Access,United States,Deskside,JLL Network Off Network computer  access Login Error received,Y,jll network off network computer  access login error received,jll network off network computer   access login error receive,jll network network computer access login error receive
1710,25-09-2022,Incident,AP,Email,Australia,Deskside,Email - Other reported,Y,email  other reported,email   other report,email report
1711,27-09-2022,Incident,AP,Email,Australia,Deskside,Outlook Add-In - Condeco,Y,outlook addin  condeco,outlook addin   condeco,outlook addin condeco
1712,26-09-2022,Incident,AP,,Malaysia,Deskside,BitLocker Recovery,Y,bitlocker recovery,bitlocker recovery,bitlocker recovery
1713,29-09-2022,Incident,AP,,Malaysia,Deskside,PDF's wont open,Y,pdfs wont open,pdfs will not open,pdfs
1714,20-12-2022,Incident,AM,Hardware,United States,Deskside,Laura Hoye - Reported Issue - Hardware - Camera is not working,Y,laura hoye  reported issue  hardware  camera is not working,laura hoye   report issue   hardware   camera be not work,laura report issue hardware camera
1715,09-01-2023,Incident,AP,Laptop,Hong Kong,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
1716,27-09-2022,Incident,AP,Email,China,Deskside,Telephony Issue - Voicemail,Y,telephony issue  voicemail,telephony issue   voicemail,issue voicemail
1717,29-09-2022,Incident,AP,,Australia,Deskside,Reported Issue - Other / Miscellaneous,Y,reported issue  other  miscellaneous,report issue   other   miscellaneous,report issue
1718,26-09-2022,Incident,AM,M365,United States,Deskside,Reported Issue - Security - Other,Y,reported issue  security  other,report issue   security   other,report issue security
1719,02-10-2022,Incident,AP,Laptop,Australia,Deskside,Hardware Issue - Laptop - Monitor not working.  ,Y,hardware issue  laptop  monitor not working  ,hardware issue   laptop   monitor not work  ,hardware issue monitor
1720,05-10-2022,Incident,AP,Laptop,Hong Kong,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
1721,29-09-2022,Incident,AP,Network,China,Deskside,Unable connect to Client Network via Lan,Y,unable connect to client network via lan,unable connect to client network via lan,connect client network lan
1722,05-10-2022,Incident,AP,Windows / OS,India,Deskside,Bright Singh application not working  ,Y,bright singh application not working  ,bright singh application not work  ,singh application
1723,27-09-2022,Incident,AP,,Hong Kong,Deskside,HKQBY01L450 - Unable open PDF File,Y,  unable open pdf file,   unable open pdf file,pdf file
1724,26-09-2022,Incident,AP,,Australia,Deskside,Reported Issue - Application - ,Y,reported issue  application  ,report issue   application  ,report issue application
1725,04-10-2022,Incident,AP,,Singapore,Deskside,Reported Issue - Other / Miscellaneous,Y,reported issue  other  miscellaneous,report issue   other   miscellaneous,report issue
1726,29-09-2022,Incident,AP,Windows / OS,Malaysia,Deskside,APAC - Reported Issue - Other / Miscellaneous,Y,apac  reported issue  other  miscellaneous,apac   report issue   other   miscellaneous,report issue
1727,26-09-2022,Incident,AP,Email,India,Deskside,Email - Issue sending or receiving reported,Y,email  issue sending or receiving reported,email   issue send or receive report,issue send report
1728,28-09-2022,Incident,AP,Network,Australia,Deskside,Network Issues - Cannot connect to M Drive,Y,network issues  cannot connect to m drive,network issue   can not connect to m drive,network issue drive
1729,28-09-2022,Incident,AP,Windows / OS,Australia,Deskside,Reported Issue - Other / Miscellaneous,Y,reported issue  other  miscellaneous,report issue   other   miscellaneous,report issue
1730,10-10-2022,Incident,AP,Hardware,India,Deskside,Hardware troubleshooting,Y,hardware troubleshooting,hardware troubleshooting,hardware
1731,27-09-2022,Incident,AP,Printer,India,Deskside,Printers and copiers,Y,printers and copiers,printer and copier,printer copier
1732,04-10-2022,Incident,AP,Email,Hong Kong,Deskside,Outlook - when user accepted calendar invites showing error ,Y,outlook  when user accepted calendar invites showing error ,outlook   when user accept calendar invite show error,outlook user calendar invite show error
1733,27-09-2022,Incident,AP,Windows / OS,Hong Kong,Deskside,Unable to Open PDFs again,Y,unable to open pdfs again,unable to open pdfs again,pdfs
1734,16-11-2022,Incident,AP,,India,Deskside,Application Configuration,Y,application configuration,application configuration,application configuration
1735,27-09-2022,Incident,AP,,India,Deskside,Admin right in VDI not working,Y,admin right in vdi not working,admin right in vdi not work,vdi
1736,03-10-2022,Incident,AP,Email,India,Deskside,Email Issues,Y,email issues,email issue,issue
1737,26-09-2022,Incident,AM,Laptop,Canada,Deskside,URGENT - Software Issue - Laptop,Y,urgent  software issue  laptop,urgent   software issue   laptop,software issue laptop
1738,03-10-2022,Incident,AM,Okta,United States,Deskside,OKTA - MFA code issues,Y,okta  mfa code issues,okta   mfa code issue,mfa code issue
1739,27-09-2022,Incident,AM,,United States,Deskside,Adobe Pro - Installation,Y,adobe pro  installation,adobe pro   installation,installation
1740,27-09-2022,Incident,AM,Windows / OS,United States,Deskside,Windows - Unable to modify time zone,Y,windows  unable to modify time zone,window   unable to modify time zone,window time zone
1741,26-09-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
1742,27-09-2022,Incident,AM,Laptop,Canada,Deskside,Hardware Issue - Laptop - Camera not working,Y,hardware issue  laptop  camera not working,hardware issue   laptop   camera not work,hardware issue camera
1743,27-09-2022,Incident,AM,Hardware,United States,Deskside,Hardware Issue - Docking Station,Y,hardware issue  docking station,hardware issue   docking station,hardware issue station
1744,27-09-2022,Incident,AM,Windows / OS,United States,Deskside,Local Admin Rights - Unable to install applications,Y,local admin rights  unable to install applications,local admin right   unable to install application,admin application
1745,27-09-2022,Incident,AM,,United States,Deskside,Adobe Acrobat Pro DC - Issues,Y,adobe acrobat pro dc  issues,adobe acrobat pro dc   issue,adobe acrobat issue
1746,29-09-2022,Incident,AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Keyboard issue,Y,jll hardware issue  laptop keyboard issue,jll hardware issue   laptop keyboard issue,jll hardware issue issue
1747,18-10-2022,Incident,AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Keyboard issues,Y,jll hardware issue  laptop keyboard issues,jll hardware issue   laptop keyboard issue,jll hardware issue issue
1748,28-09-2022,Incident,AM,Network,United States,Deskside,Ernesto Gemoets-Internet - Network connectivity issues,Y,ernesto gemoetsinternet  network connectivity issues,ernesto gemoetsinternet   network connectivity issue,ernesto gemoetsinternet network connectivity issue
1749,06-10-2022,Incident,AM,,United States,Deskside,JLL Admin Rights  Google Earth Pro Assistance,Y,jll admin rights  google earth pro assistance,jll admin right   google earth pro assistance,jll admin assistance
1750,26-09-2022,Incident,AM,,United States,Deskside,URGENT -   Local Admin Rights - Unable to install applications ,Y,urgent    local admin rights  unable to install applications ,urgent     local admin right   unable to install application,admin application
1751,03-10-2022,Incident,AM,,Canada,Deskside,JLL McAfee encryption on external device,Y,jll mcafee encryption on external device,jll mcafee encryption on external device,jll mcafee encryption device
1752,29-09-2022,Incident,AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop no shut down options showing,Y,jll hardware issue  laptop no shut down options showing,jll hardware issue   laptop no shut down option show,jll hardware issue shut option show
1753,26-09-2022,Incident,AM,Laptop,United States,Deskside,Katie Schroeder-HARD DOWN JLL Hardware Issue - Laptop Not starting,Y,katie schroederhard down jll hardware issue  laptop not starting,katie schroederhard down jll hardware issue   laptop not start,jll hardware issue
1754,13-10-2022,Incident,AM,,United States,Deskside,JLL Admin Rights  GIS software,Y,jll admin rights  gis software,jll admin right   gis software,jll admin gis software
1755,26-09-2022,Incident,AM,Windows / OS,United States,Deskside,User is trying to set up her  headset but is receiving an error,Y,user is trying to set up her  headset but is receiving an error,user be try to set up her   headset but be receive an error,try headset error
1756,28-09-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop issues.,Y,hardware issue  laptop issues,hardware issue   laptop issue,hardware issue issue
1757,28-09-2022,Incident,AM,,United States,Deskside,JLL Adobe Acrobat Pro DC  install,Y,jll adobe acrobat pro dc  install,jll adobe acrobat pro dc   install,jll adobe dc install
1758,27-09-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop Blue Screen.,Y,hardware issue  laptop blue screen,hardware issue   laptop blue screen,hardware issue screen
1759,29-09-2022,Incident,AM,,United States,Deskside,Software - Transfer files from Hard Drive to Sharepoint.,Y,software  transfer files from hard drive to sharepoint,software   transfer file from hard drive to sharepoint,software transfer file drive
1760,28-09-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop Issues.,Y,hardware issue  laptop issues,hardware issue   laptop issue,hardware issue issue
1761,03-10-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery Issues.,Y,hardware issue  laptop battery issues,hardware issue   laptop battery issue,hardware issue battery issue
1762,28-09-2022,Incident,AM,,United States,Deskside,BAC - Client Portal Compliance Checking at Login,Y,bac  client portal compliance checking at login,bac   client portal compliance checking at login,client compliance checking login
1763,27-09-2022,Incident,AM,Laptop,United States,Deskside,"Hardware Issue - Laptop stuck at blue screen that says ""Please Wait""",Y,hardware issue  laptop stuck at blue screen that says please wait,hardware issue   laptop stick at blue screen that say please wait,hardware issue stick screen wait
1764,28-09-2022,Incident,AM,Laptop,Canada,Deskside,Hardware Issue - Laptop Battery Issues.,Y,hardware issue  laptop battery issues,hardware issue   laptop battery issue,hardware issue battery issue
1765,26-09-2022,Incident,AM,Intune,United States,Deskside,Application Issue - Intune - Mail/Contacts not syncing,Y,application issue  intune  mailcontacts not syncing,application issue   intune   mailcontact not sync,application issue intune
1766,26-09-2022,Incident,AM,,United States,Deskside,Adobe - Installation Issues,Y,adobe  installation issues,adobe   installation issue,adobe installation issue
1767,28-09-2022,Incident,AM,,United States,Deskside,Reported Issue - Application - BNA,Y,reported issue  application  bna,report issue   application   bna,report issue application bna
1768,28-09-2022,Incident,AM,Network,United States,Deskside,Reported Issue - Network - Other,Y,reported issue  network  other,report issue   network   other,report issue network
1769,27-09-2022,Incident,AP,Email,India,Deskside,Email issue ,Y,email issue ,email issue,issue
1770,26-09-2022,Incident,AM,Intune,United States,Deskside,Application Issue - Intune - Mail/Contacts not syncing,Y,application issue  intune  mailcontacts not syncing,application issue   intune   mailcontact not sync,application issue intune
1771,29-09-2022,Incident,AM,Access,United States,Deskside,JLL  - Office - Access issues to files,Y,jll   office  access issues to files,jll    office   access issue to file,jll office access issue
1772,10-10-2022,Incident,AM,Windows / OS,United States,Deskside,Mac - Computer Issues,Y,mac  computer issues,mac   computer issue,mac computer issue
1773,05-10-2022,Incident,AM,Network,United States,Deskside,Heidi Gordon - Reported Issue - Network - WiFi,Y,heidi gordon  reported issue  network  wifi,heidi gordon   report issue   network   wifi,report issue network wifi
1774,29-09-2022,Incident,AM,,United States,Deskside,Decommission - non-OutProcess related Decom.,Y,decommission  nonoutprocess related decom,decommission   nonoutprocess relate decom,decommission nonoutprocess relate decom
1775,14-10-2022,Incident,AM,Email,United States,Deskside,JLL Mac Device Outllok JLL email not showing properly,Y,jll mac device outllok jll email not showing properly,jll mac device outllok jll email not show properly,jll mac device jll email
1776,29-09-2022,Incident,AM,Access,United States,Deskside,BAC  - JLL Clarizen Other / Access issue to the link ,Y,bac   jll clarizen other  access issue to the link ,bac    jll clarizen other   access issue to the link,bac jll access issue link
1777,28-09-2022,Incident,AM,,Canada,Deskside,JLL Admin Rights Webex Player ,Y,jll admin rights webex player ,jll admin rights webex player,jll admin player
1778,27-09-2022,Incident,AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop external  Keyboard issue,Y,jll hardware issue  laptop external  keyboard issue,jll hardware issue   laptop external   keyboard issue,jll hardware issue keyboard issue
1779,28-09-2022,Incident,AM,,United States,Deskside,Software - Admin credentials needed to install ProCalc,Y,software  admin credentials needed to install procalc,software   admin credential need to install procalc,software need procalc
1780,27-09-2022,Incident,AM,Email,United States,Deskside,Email - Slowness reported,Y,email  slowness reported,email   slowness report,slowness report
1781,11-10-2022,Incident,AM,Hardware,United States,Deskside,Hardware Issue -Charger not working,Y,hardware issue charger not working,hardware issue charger not work,hardware issue charger
1782,27-09-2022,Incident,AM,,United States,Deskside,JLL Adobe Pro Install Assistance,Y,jll adobe pro install assistance,jll adobe pro install assistance,jll adobe assistance
1783,27-09-2022,Incident,AM,,India,Deskside,Admin Rights issue in AWS Workspace,Y,admin rights issue in aws workspace,admin right issue in aws workspace,issue workspace
1784,05-10-2022,Incident,AM,Network,United States,Deskside,JLL network Frequent Lock Out,Y,jll network frequent lock out,jll network frequent lock out,jll network lock
1785,28-09-2022,Incident,AM,Network,United States,Deskside,Network Account - Off Network Computer Login Issue,Y,network account  off network computer login issue,network account   off network computer login issue,network account network computer login issue
1786,28-09-2022,Incident,AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Performance issues -replacement follow up,Y,jll hardware issue  laptop performance issues replacement follow up,jll hardware issue   laptop performance issue replacement follow up,jll hardware issue performance issue replacement
1787,19-10-2022,Incident,AM,Windows / OS,United States,Deskside,Unable to import file from database,Y,unable to import file from database,unable to import file from database,file database
1788,26-09-2022,Incident,AM,,United States,Deskside,Excel - Unable to install OneStream Add-In on Excel / Admin credentials required for installation,Y,excel  unable to install onestream addin on excel  admin credentials required for installation,excel   unable to install onestream addin on excel   admin credential require for installation,addin require installation
1789,27-09-2022,Incident,AM,Email,United States,Deskside,outlook does not load older mails (just last 24h),Y,outlook does not load older mails just last ,outlook do not load old mail just last,outlook mail
1790,03-10-2022,Incident,AM,Email,United States,Deskside,JLL Teams Calendar invite Outlook add in,Y,jll teams calendar invite outlook add in,jll team calendar invite outlook add in,jll team calendar outlook add
1791,28-09-2022,Incident,AM,M365,United States,Deskside,MS Teams / Google Chrome - Applications not launching,Y,ms teams  google chrome  applications not launching,ms team   google chrome   application not launch,ms team google chrome application
1792,07-10-2022,Incident,AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,reported issue  hardware  laptop_desktop,report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
1793,26-09-2022,Incident,AM,,United States,Deskside,are you familiar with this message when trying to VPN in?,Y,are you familiar with this message when trying to vpn in,be you familiar with this message when try to vpn in,message try
1794,29-09-2022,Incident,AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,reported issue  hardware  laptop_desktop,report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
1795,27-09-2022,Incident,AM,Network,United States,Deskside,Reported Issue - Network - Other,Y,reported issue  network  other,report issue   network   other,report issue network
1796,27-09-2022,Incident,AM,M365,United States,Deskside,admin rights,Y,admin rights,admin right,
1797,27-09-2022,Incident,AM,Printer,United States,Deskside,Hardware Issue - Printer,Y,hardware issue  printer,hardware issue   printer,hardware issue printer
1798,29-09-2022,Incident,AM,Printer,United States,Deskside,Software - Fiery Printer Driver Updater Module,Y,software  fiery printer driver updater module,software   fiery printer driver updater module,software fiery printer driver updater module
1799,27-09-2022,Incident,AM,Windows / OS,United States,Deskside,Software - Pop Up Issues.,Y,software  pop up issues,software   pop up issue,software issue
1800,03-10-2022,Incident,AM,,United States,Deskside,Computers not receiving management updates,Y,computers not receiving management updates,computer not receive management update,computer management update
1801,21-10-2022,Incident,AM,,Mexico,Deskside,Computers not receiving management updates,Y,computers not receiving management updates,computer not receive management update,computer management update
1802,03-10-2022,Incident,AM,,United States,Deskside,Computers not receiving management updates,Y,computers not receiving management updates,computer not receive management update,computer management update
1803,26-09-2022,Incident,AM,,United States,Deskside,Computers not receiving management updates,Y,computers not receiving management updates,computer not receive management update,computer management update
1804,14-10-2022,Incident,AM,,Mexico,Deskside,Computers not receiving management updates,Y,computers not receiving management updates,computer not receive management update,computer management update
1805,03-10-2022,Incident,AM,,United States,Deskside,Computers not receiving management updates,Y,computers not receiving management updates,computer not receive management update,computer management update
1806,07-10-2022,Incident,AM,Intune,United States,Deskside,BAC Intune - Mail/Contacts not syncing,Y,bac intune  mailcontacts not syncing,bac intune   mailcontact not sync,bac intune mailcontact
1807,10-10-2022,Incident,AM,,United States,Deskside,Local Admin Rights -  Scanner Software/Drivers needed ,Y,local admin rights   scanner softwaredrivers needed ,local admin right    scanner softwaredriver need,admin right scanner
1808,29-09-2022,Incident,AM,Email,United States,Deskside,Email - Issue sending or receiving reported,Y,email  issue sending or receiving reported,email   issue send or receive report,issue send report
1809,03-10-2022,Incident,AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop & Battery Performance,Y,jll hardware issue  laptop  battery performance,jll hardware issue   laptop   battery performance,jll hardware issue battery performance
1810,29-09-2022,Incident,AM,,United States,Deskside,JLL - Adobe Acrobat install assistance on loaner,Y,jll  adobe acrobat install assistance on loaner,jll   adobe acrobat install assistance on loaner,jll adobe acrobat assistance loaner
1811,27-09-2022,Incident,AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,reported issue  hardware  laptop_desktop,report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
1812,28-09-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop not reproducing audio,Y,hardware issue  laptop not reproducing audio,hardware issue   laptop not reproduce audio,hardware issue audio
1813,27-09-2022,Incident,AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Not starting properly and performance issues ,Y,jll hardware issue  laptop not starting properly and performance issues ,jll hardware issue   laptop not start properly and performance issue,jll hardware issue performance issue
1814,26-09-2022,Incident,AM,Printer,United States,Deskside,Printer not working,Y,printer not working,printer not work,printer
1815,26-09-2022,Incident,AM,Password,United States,Deskside,Network Account - Password reset and unlock,Y,network account  password reset and unlock,network account   password reset and unlock,network account password reset unlock
1816,10-10-2022,Incident,AM,Okta,United States,Deskside,OKTA MFA - Issues ,Y,okta mfa  issues ,okta mfa   issue,issue
1817,12-10-2022,Incident,AM,Windows / OS,United States,Deskside,BAC New IPhone Doesn't Make/Receive Calls,Y,bac new iphone doesnt makereceive calls,bac new iphone do not makereceive call,iphone call
1818,27-09-2022,Incident,AM,Email,United States,Deskside,Outlook - Unable to change Font location/size on Outlook,Y,outlook  unable to change font locationsize on outlook,outlook   unable to change font locationsize on outlook,outlook locationsize outlook
1819,20-10-2022,Incident,AM,,United States,Deskside,OneDrive- Application is not working properly  - OneDrive sync files,Y,onedrive application is not working properly   onedrive sync files,onedrive application be not work properly    onedrive sync file,application sync file
1820,28-10-2022,Incident,AM,,United States,Deskside,Reported Issue - Application - Zoom,Y,reported issue  application  zoom,report issue   application   zoom,report issue application zoom
1821,28-09-2022,Incident,AM,,United States,Deskside,Local Admin Rights - Unable to install applications,Y,local admin rights  unable to install applications,local admin right   unable to install application,admin application
1822,21-10-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop Issues.,Y,hardware issue  laptop issues,hardware issue   laptop issue,hardware issue issue
1823,27-09-2022,Incident,AM,Laptop,United States,Deskside,Software Issues - Laptop Pop Up.,Y,software issues  laptop pop up,software issue   laptop pop up,software issue pop
1824,28-09-2022,Incident,AM,Email,United States,Deskside,Outlook - Message from Outlook locking up the use of my Outlook.,Y,outlook  message from outlook locking up the use of my outlook,outlook   message from outlook lock up the use of my outlook,outlook message outlook lock use outlook
1825,27-09-2022,Incident,AP,Email,Australia,Deskside,Outlook Credential Prompt,Y,outlook credential prompt,outlook credential prompt,outlook prompt
1826,11-10-2022,Incident,AM,,United Kingdom,Deskside,no option coming for creating a new folder.,Y,no option coming for creating a new folder,no option come for create a new folder,option folder
1827,03-10-2022,Incident,AP,,Australia,Deskside,Reported Issue - Other / Miscellaneous,Y,reported issue  other  miscellaneous,report issue   other   miscellaneous,report issue
1828,27-09-2022,Incident,AP,,Australia,Deskside,Reported Issue - Application - Box (Global),Y,reported issue  application  box global,report issue   application   box global,report issue application box
1829,02-10-2022,Incident,AP,,Australia,Deskside,Reported Issue - Application - Adobe Creative Cloud Suite,Y,reported issue  application  adobe creative cloud suite,report issue   application   adobe creative cloud suite,report issue application cloud suite
1830,05-10-2022,Incident,AP,Laptop,Australia,Deskside,Laptop Lost / Stolen,Y,laptop lost  stolen,laptop lose   steal,lose steal
1831,06-10-2022,Incident,AP,Network,Australia,Deskside,Reported Issue - Network - LAN,Y,reported issue  network  lan,report issue   network   lan,report issue network lan
1832,19-10-2022,Incident,AP,,Australia,Deskside,Reported Issue - Application - Adobe Creative Cloud Suit | Adobe Audition,Y,reported issue  application  adobe creative cloud suit  adobe audition,report issue   application   adobe creative cloud suit   adobe audition,report issue application cloud suit audition
1833,02-10-2022,Incident,AP,Email,Hong Kong,Deskside,Application Issue - RE: Troubles in using phone book and email with work phone,Y,application issue  re troubles in using phone book and email with work phone,application issue   re trouble in use phone book and email with work phone,application issue re trouble use phone book email work phone
1834,28-09-2022,Incident,AP,,Hong Kong,Deskside,Application Issue - RE: One Drive Uploading Problem,Y,application issue  re one drive uploading problem,application issue   re one drive uploading problem,application issue drive uploading problem
1835,26-09-2022,Incident,AP,Network,China,Deskside,Network Issues - Wifi - [Owen],Y,network issues  wifi  owen,network issue   wifi   owen,network issue wifi owen
1836,12-10-2022,Incident,AM,,India,Deskside,Please assign to relevant desk side for action,Y,please assign to relevant desk side for action,please assign to relevant desk side for action,assign side action
1837,04-10-2022,Incident,AP,Laptop,Australia,Deskside,Hardware Issue - Laptop Performance - fan noisy overheating,Y,hardware issue  laptop performance  fan noisy overheating,hardware issue   laptop performance   fan noisy overheat,hardware issue performance fan overheat
1838,24-10-2022,Incident,AP,Email,India,Deskside,Email Issues,Y,email issues,email issue,issue
1839,28-09-2022,Incident,AP,Laptop,Hong Kong,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
1840,27-09-2022,Incident,AP,Email,Hong Kong,Deskside,Outlook - summary of other issue,Y,outlook  summary of other issue,outlook   summary of other issue,outlook summary issue
1841,28-09-2022,Incident,AP,,India,Deskside,application issue ,Y,application issue ,application issue,application issue
1842,28-09-2022,Incident,AP,Email,Philippines,Deskside,Email - Issue sending or receiving reported,Y,email  issue sending or receiving reported,email   issue send or receive report,issue send report
1843,29-09-2022,Incident,AP,Email,Hong Kong,Deskside,Outlook -System Administrator email for ALL my calendar invite responses,Y,outlook system administrator email for all my calendar invite responses,outlook system administrator email for all my calendar invite response,outlook system administrator email calendar invite response
1844,03-10-2022,Incident,AP,,China,Deskside,Application Issue - Other App,Y,application issue  other app,application issue   other app,application issue app
1845,21-10-2022,Incident,AP,,India,Deskside,Application Issues,Y,application issues,application issue,application issue
1846,13-10-2022,Incident,AM,Windows / OS,United States,Deskside,Windows 10 - Power Button Icon Missing,Y,windows   power button icon missing,window    power button icon miss,window power button icon miss
1847,27-09-2022,Incident,AM,Laptop,United States,Deskside,BAC Hardware Issue - Laptop Battery,Y,bac hardware issue  laptop battery,bac hardware issue   laptop battery,bac hardware issue battery
1848,29-09-2022,Incident,AM,Email,United States,Deskside,Email - Slowness reported,Y,email  slowness reported,email   slowness report,slowness report
