notes,Cleaned_Column
"We restarted the application, Now it is UP and running.",we restarted the application now it is up and running
"Issue Identification: Memory Utilization on GBVVSSQ10 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
"Issue Identification: CPU Utilization on G-OPTIOPD is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification cpu utilization on goptiopd is critical	
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"Issue Identification: CPU Utilization on G-OPTIOPD is Warning	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification cpu utilization on goptiopd is warning	
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
auto resolved,auto resolved
jobs ran successfully,jobs ran successfully
auto resolved,auto resolved
auto resolved,auto resolved
auto resolved,auto resolved
auto resolved,auto resolved
"Application: SQL Components

Application Component: SQL Server (MSSQLSERVER)

Application State: Up

Node Name : GBVVSSQ10

IP Address: 10.52.64.85

Component Statistic Data:

Component Message:","application sql components

application component sql server mssqlserver

application state up

node name  

ip address 

component statistic data

component message"
"Application: SQL Components

Application Component: SQL Server (MSSQLSERVER)

Application State: Up

Node Name : GBVVSSQ10

IP Address: 10.52.64.85

Component Statistic Data:

Component Message:","application sql components

application component sql server mssqlserver

application state up

node name  

ip address 

component statistic data

component message"
Webserver restarted and component is up now,webserver restarted and component is up now
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Now the utilization is normal.,now the utilization is normal
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.","web instances are working fine and cpu utilization is normal after restart
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed"
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.","web instances are working fine and cpu utilization is normal after restart
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed"
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.","web instances are working fine and cpu utilization is normal after restart
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed"
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.","web instances are working fine and cpu utilization is normal after restart
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed"
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Webserver restarted and the component is UP now. Reset email generated,webserver restarted and the component is up now reset email generated
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.","web instances are working fine and cpu utilization is normal after restart
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed"
"Web instances are working fine and CPU utilization is normal after restart.
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.","web instances are working fine and cpu utilization is normal after restart
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed"
Backlogs cleared,backlogs cleared
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Application component is UP now. Reset email generated,application component is up now reset email generated
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
","
issue has been resolved without action alert reset  issue detected as resolved by orion
"
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
","
issue has been resolved without action alert reset  issue detected as resolved by orion
"
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
","
issue has been resolved without action alert reset  issue detected as resolved by orion
"
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
","
issue has been resolved without action alert reset  issue detected as resolved by orion
"
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
","
issue has been resolved without action alert reset  issue detected as resolved by orion
"
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
","
issue has been resolved without action alert reset  issue detected as resolved by orion
"
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Backlog cleared.,backlog cleared
backlog clearance.,backlog clearance
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
"SI
SolarWinds Integration
Work notes•2022-07-10 17:46:11
Alert reset - issue detected as resolved by Orion","si
solarwinds integration
work  
alert reset  issue detected as resolved by orion"
Formserver is up.,formserver is up
Backlog cleared.,backlog cleared
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
CPU utilization is normal now. Reset email generated.,cpu utilization is normal now reset email generated
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.","web instances are working fine and cpu utilization is normal after restart 
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed"
"Node Name: AUS-CSPORTAL01

IP address: 192.168.11.134

Alert Time: Thursday, July 7, 2022 10:42 AM

CPU Utilization: 0 %
","node name 

ip address 

alert time thursday july    am

cpu utilization  
"
"Node Name: AUS-GHS-TS01

IP address: 192.168.11.183

Alert Time: Thursday, July 7, 2022 11:03 AM

CPU Utilization: 5 %
","node name 

ip address 

alert time thursday july    am

cpu utilization  
"
"Issue Identification: Memory Utilization on GBVVSSQ10 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
We have commented out inside the rtfpp file /etc/puppet/environments/production||noprod/modules/w_role/manifests/rtf.pp to disable to server reboot. Now the puppet is started and working fine. ,we have commented out inside the rtfpp file etcpuppetenvironmentsproductionnoprodmodulesw_rolemanifestsrtfpp to disable to server reboot now the puppet is started and working fine 
We have commented out inside the rtfpp file /etc/puppet/environments/production||noprod/modules/w_role/manifests/rtf.pp to disable to server reboot. Now the puppet is started and working fine. ,we have commented out inside the rtfpp file etcpuppetenvironmentsproductionnoprodmodulesw_rolemanifestsrtfpp to disable to server reboot now the puppet is started and working fine 
We have commented out inside the rtfpp file /etc/puppet/environments/production||noprod/modules/w_role/manifests/rtf.pp to disable to server reboot. Now the puppet is started and working fine.,we have commented out inside the rtfpp file etcpuppetenvironmentsproductionnoprodmodulesw_rolemanifestsrtfpp to disable to server reboot now the puppet is started and working fine
Now we fixed the puppet overwrite issue and started the puppet services it is running fine.,now we fixed the puppet overwrite issue and started the puppet services it is running fine
We have commented out inside the rtfpp file /etc/puppet/environments/production||noprod/modules/w_role/manifests/rtf.pp to disable to server reboot. Now the puppet is started and working fine. ,we have commented out inside the rtfpp file etcpuppetenvironmentsproductionnoprodmodulesw_rolemanifestsrtfpp to disable to server reboot now the puppet is started and working fine 
Now we fixed the puppet overwrite issue and started the puppet services it is running fine.,now we fixed the puppet overwrite issue and started the puppet services it is running fine
"Application: Baseline Services_Windows 

Application Component: Netlogon(Up), DNS Client(Up), GPO Client(Up), CrowdStrike Falcon Sensor Service(Up) 

Application State: Up

Node: GBMI1-VEEAM-STORAGE

Node Description: Windows 2019 Server

IP Address: 10.140.0.29
","application baseline services_windows 

application component netlogonup dns clientup gpo clientup crowdstrike falcon sensor serviceup 

application state up

node 

node description windows  server

ip address 
"
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
","
issue has been resolved without action alert reset  issue detected as resolved by orion
"
"We archived the log file, Now the utilization is normal ",we archived the log file now the utilization is normal 
"We have restarted the tomcat5 and httpd services in MAXMSDSPRD-WS01 server, After the restart its started working.",we have restarted the  and httpd services in  server after the restart its started working
Application component is UP now. Reset email generated,application component is up now reset email generated
"Application: ADC URL monitoring 

Application Component: https://wesco.hostedtax.thomsonreuters.com/sabrix/xmlinvoice(Up), http://maxmsds1.tcmis.com/msdsadmin/my.ping (Up), https://app.maxcomsc.com/maxcomsc/(Up), https://www.tcmis.com/tcmIS/monitoring/tomcatping.jsp(Up), https://apps.tcmis.com/tcmIS/supplier/home.do(Up), https://www.tcmis.com/tcmIS/help/new/index.html(Up), http://maxmsds1.tcmis.com/catadmin/catadmin.jsp(Up) 

Application State: Up

Node: AUS-ORIONAPP01

Node Description: Windows 2016 Server

IP Address: 192.168.11.188
","application adc url monitoring 

application component httpswescohostedtaxthomsonreuterscomsabrixxmlinvoiceup  up httpsappmaxcomsccommaxcomscup httpswwwtcmiscomtcmismonitoringtomcatpingjspup httpsappstcmiscomtcmissupplierhomedoup httpswwwtcmiscomtcmishelpnewindexhtmlup  

application state up

node 

node description windows  server

ip address 
"
"We have restarted the tomcat5 and httpd services in MAXMSDSPRD-WS01 server, After the restart its started working.",we have restarted the  and httpd services in  server after the restart its started working
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
"Node Name: GBVVSDS0
IP address: 10.224.40.55
Severity: Normal

Current memory utilization : 91% 

Free Memory Available : 9 % 

Total Memory : 64.0 G

Memory Used : 59.6 G

Memory Available : 4.4 G 
","node name 
ip address 
severity normal

current memory utilization   

free memory available    

total memory   g

memory used   g

memory available   g 
"
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.","web instances are working fine and cpu utilization is normal after restart 
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed"
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.","web instances are working fine and cpu utilization is normal after restart 
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed"
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.","web instances are working fine and cpu utilization is normal after restart 
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed"
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Resolved post reset.,resolved post reset
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
"Marking it as resolved as the issue is fixed now.
Note : Still awaiting the update from SAP and update regarding the RCA (PTASK0010176)
https://incora.service-now.com/problem_task.do?sys_id=fc6542e547a099908e76b11f536d4366&sysparm_record_target=problem_task&sysparm_record_row=1&sysparm_record_rows=1&sysparm_record_list=problem%3D12e342ad476099908e76b11f536d43f1%5EORDERBYnumber","marking it as resolved as the issue is fixed now
note  still awaiting the update from sap and update regarding the rca 
"
User confirmed as issue fixed.,user confirmed as issue fixed
"Alert reset - issue detected as resolved by Orion
Orion Alert Details","alert reset  issue detected as resolved by orion
orion alert details"
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Resolution notes copied from Parent Incident: Alert reset - issue detected as resolved by Orion.,resolution notes copied from parent incident alert reset  issue detected as resolved by orion
Resolution notes copied from Parent Incident: Alert reset - issue detected as resolved by Orion.,resolution notes copied from parent incident alert reset  issue detected as resolved by orion
Resolution notes copied from Parent Incident: Alert reset - issue detected as resolved by Orion.,resolution notes copied from parent incident alert reset  issue detected as resolved by orion
"Alert reset - issue detected as resolved by Orion
Orion Alert Details","alert reset  issue detected as resolved by orion
orion alert details"
We have migrated DHCP to ALFO-DC01 from ALFO-RODC01 server,we have migrated dhcp to  from  server
We have migrated DHCP to ALFO-DC01 from ALFO-RODC01 server . ,we have migrated dhcp to  from  server  
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Application component is UP now.,application component is up now
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
"CPU utilization is normal.
Hence resolving the incident.","cpu utilization is normal
hence resolving the incident"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
CPU utilization is normal now. Reset email generated.,cpu utilization is normal now reset email generated
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Resolution notes copied from Parent Incident: issue resolved,resolution notes copied from parent incident issue resolved
Backlog cleared.,backlog cleared
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
issue resolved,issue resolved
issue resolved,issue resolved
Now the utilization is normal.,now the utilization is normal
issue resolved,issue resolved
"rebooted the server and services are up and running fine
hence resolving ","rebooted the server and services are up and running fine
hence resolving "
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Now the utilization is normal. Reset email generated. ,now the utilization is normal reset email generated 
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
"Node Name: GBVVSSQ10
IP address: 10.52.64.85
Severity: Normal

Current memory utilization : 92 % 

Free Memory Available : 8 % 

Total Memory : 16.0 G

Memory Used : 14.8 G

Memory Available : 1.2 G 
","node name 
ip address 
severity normal

current memory utilization    

free memory available    

total memory   g

memory used   g

memory available   g 
"
We have commented out inside the rtfpp file /etc/puppet/environments/production||noprod/modules/w_role/manifests/rtf.pp to disable to server reboot. Now the puppet is started and working fine.,we have commented out inside the rtfpp file etcpuppetenvironmentsproductionnoprodmodulesw_rolemanifestsrtfpp to disable to server reboot now the puppet is started and working fine
Now the puppet is started and working fine.,now the puppet is started and working fine
We have commented out inside the rtfpp file /etc/puppet/environments/production||noprod/modules/w_role/manifests/rtf.pp to disable to server reboot. Now the puppet is started and working fine.,we have commented out inside the rtfpp file etcpuppetenvironmentsproductionnoprodmodulesw_rolemanifestsrtfpp to disable to server reboot now the puppet is started and working fine
Now the puppet is started and its working fine.,now the puppet is started and its working fine
"Now the puppet is started and working fine,",now the puppet is started and working fine
Now the puppet is started and working fine.,now the puppet is started and working fine
"Hello all,
Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Ravi Varma","hello all
web instances are working fine and cpu utilization is normal after restart 
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed

regards
ravi varma"
Now the component is UP. Reset email generated.,now the component is up reset email generated
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
"Node Name: G-SCCM01

IP address: 10.50.110.16

CPU Utilization: 31 %

","node name 

ip address 

cpu utilization  

"
It is taken down  as part of decommissioning the firewall,it is taken down  as part of decommissioning the firewall
"Node Name: gbmi1-dc05

IP address: 10.140.0.5

CPU Utilization: 67 %
","node name 

ip address 

cpu utilization  
"
"Node Name: USAZSCCMCAS01
IP address: 172.16.21.7
Severity: Normal
Current memory utilization : 93 % 
Free Memory Available : 7 % 

Total Memory : 28.0 G

Memory Used : 26.0 G

Memory Available : 2.0 G 
","node name 
ip address 
severity normal
current memory utilization    
free memory available    

total memory   g

memory used   g

memory available   g 
"
Resolution notes copied from Parent Incident: issue resolved,resolution notes copied from parent incident issue resolved
issue resolved,issue resolved
"Issue Identification: ALERT: DISK SPACE on GBVVSML4-C:\ Label: 26AAB525 has currently 9 % is available
Resolution: Alert reset - issue detected as resolved by Orion After the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification alert disk space on  label  has currently   is available
resolution alert reset  issue detected as resolved by orion after the space is cleared 
solarwinds confirmation yesno  yes"
"Issue Identification: ALERT: DISK SPACE on GBVVSML5-C:\ Label: 26AAB525 has currently 8 % is available
Resolution: Alert reset - issue detected as resolved by Orion After the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification alert disk space on  label  has currently   is available
resolution alert reset  issue detected as resolved by orion after the space is cleared 
solarwinds confirmation yesno  yes"
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
"Node Name: USAZSCCMCAS01
IP address: 172.16.21.7
Severity: critical

Current memory utilization : 91 % 

Free Memory Available : 9 % 

Total Memory : 28.0 G

Memory Used : 25.6 G

Memory Available : 2.4 G 
","node name 
ip address 
severity critical

current memory utilization    

free memory available    

total memory   g

memory used   g

memory available   g 
"
Now the utilization is normal.,now the utilization is normal
"Application: Baseline Services_Windows 

Application Component: Netlogon(Up), DNS Client(Up), GPO Client(Up), CrowdStrike Falcon Sensor Service(Up) 

Application State: Up

Node: LON-VEEAM-PRX02

Node Description: Windows 2012 R2 Server

IP Address: 192.168.152.200
","application baseline services_windows 

application component netlogonup dns clientup gpo clientup crowdstrike falcon sensor serviceup 

application state up

node 

node description windows   server

ip address 
"
"Node Name: gbdvssq0
IP address: 10.224.32.78

Severity: Normal

Current memory utilization : 92 % 

Free Memory Available : 8 % 

Total Memory : 4.0 G

Memory Used : 3.7 G

Memory Available : 310 M 
","node name 
ip address 

severity normal

current memory utilization    

free memory available    

total memory   g

memory used   g

memory available   m 
"
"Node Name: gbmi1-dc05

IP address: 10.140.0.5

CPU Utilization: 61 %
","node name 

ip address 

cpu utilization  
"
"Node Name:GBVVSML1

Node Description: Windows 2016 Server

Volume Name: C:\ Label: A048ABB1
% Available: 12 %

Total size: 59.7 G

Percent used: 88 %

Space available: 7.1 G
","node 

node description windows  server

volume name c label 
 available  

total size  g

percent used  

space available  g
"
"Node Name:GBVVSRD5

Node Description: Windows 2016 Server

Volume Name: C:\ Label:OS 02A7D15B
% Available: 12 %

Total size: 69.4 G

Percent used: 88 %

Space available: 8.2 G
","node 

node description windows  server

volume name c labelos 
 available  

total size  g

percent used  

space available  g
"
Alert reset - issue detected as resolved by Orion,alert reset  issue detected as resolved by orion
"Node Name:GBVVSML0

Node Description: Windows 2016 Server

Volume Name: C:\ Label: 26AAB525
% Available: 11 %

Total size: 59.6 G

Percent used: 89 %

Space available: 6.5 G
","node 

node description windows  server

volume name c label 
 available  

total size  g

percent used  

space available  g
"
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Webserver restarted and the component is UP now.,webserver restarted and the component is up now
Now the utilization is normal. Reset email generated. ,now the utilization is normal reset email generated 
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
"Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
","issue has been resolved without action alert reset  issue detected as resolved by orion
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Service is UP now. Reset email generated ,service is up now reset email generated 
"Hello all,

Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Reshma Roy","hello all

web instances are working fine and cpu utilization is normal after restart 
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed

regards
reshma roy"
"Hello all,

Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Reshma Roy","hello all

web instances are working fine and cpu utilization is normal after restart 
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed

regards
reshma roy"
"Hello all,

Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed

Regards,
Reshma Roy","hello all

web instances are working fine and cpu utilization is normal after restart 
qc passed successfully i am resolving the incident now
please reopen the incident if further assistance is needed

regards
reshma roy"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
","
issue has been resolved without action alert reset  issue detected as resolved by orion
"
CPU utilization is normal now. Reset email generated.,cpu utilization is normal now reset email generated
CPU utilization is normal now. Reset email generated.,cpu utilization is normal now reset email generated
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
System restarted and issue has been fixed,system restarted and issue has been fixed
CPU utilization is normal now. Reset email generated.,cpu utilization is normal now reset email generated
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Closing this alert as there is no issues reported from user side,closing this alert as there is no issues reported from user side
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
"
Disk cleaup done on server

Volume Name: C:\ Label: A048ABB1
% Available: 17 %

Total size: 59.7 G

Percent used: 83 %

Space available: 10.1 G
","
disk cleaup done on server

volume name c label 
 available  

total size  g

percent used  

space available  g
"
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,issue has been resolved without action alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
